Site,Stage,Year,Column,Row,Genotype,yield,aphidcov,lcol,lrow,Block,Site.o,Environment
06S3BRE,06S3,2006,5,8,381,2.06,NA,1.5,-22.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,9,410,2.07,NA,1.5,-21.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,10,474,2.3,NA,1.5,-20.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,11,522,2.09,NA,1.5,-19.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,12,574,2.06,NA,1.5,-18.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,13,339,2.27,NA,1.5,-17.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,14,392,1.73,NA,1.5,-16.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,15,383,2.24,NA,1.5,-15.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,16,411,1.79,NA,1.5,-14.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,17,467,2.07,NA,1.5,-13.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,18,460,1.72,NA,1.5,-12.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,19,543,2.34,NA,1.5,-11.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,20,554,2.2,NA,1.5,-10.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,21,398,2.61,NA,1.5,-9.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,22,401,2.17,NA,1.5,-8.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,23,462,2.1,NA,1.5,-7.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,24,534,1.52,NA,1.5,-6.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,25,480,1.68,NA,1.5,-5.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,26,544,1.73,NA,1.5,-4.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,27,566,1.64,NA,1.5,-3.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,28,341,1.78,NA,1.5,-2.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,29,393,2.09,NA,1.5,-1.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,30,487,2,NA,1.5,-0.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,31,446,1.2,NA,1.5,0.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,32,440,1.37,NA,1.5,1.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,33,453,1.92,NA,1.5,2.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,34,402,1.42,NA,1.5,3.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,35,552,1.99,NA,1.5,4.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,36,521,2.27,NA,1.5,5.5,2,06BRE01,06BRE
06S3BRE,06S3,2006,5,37,571,2.08,NA,1.5,6.5,2,06BRE01,06BRE
